index,pred
5488,4 顆星
8265,1 顆星
26508,4 顆星
3772,1 顆星
16762,4 顆星
31183,1 顆星
19974,5 顆星
9027,4 顆星
15004,5 顆星
29561,4 顆星
26460,2 顆星
30659,1 顆星
22352,1 顆星
1447,5 顆星
1015,5 顆星
7356,1 顆星
21884,3 顆星
16305,2 顆星
3806,5 顆星
9844,1 顆星
23008,3 顆星
11926,5 顆星
706,1 顆星
30626,1 顆星
17402,2 顆星
11505,5 顆星
16636,3 顆星
80,2 顆星
20013,1 顆星
18332,1 顆星
10314,1 顆星
6097,5 顆星
26749,2 顆星
11332,5 顆星
20749,1 顆星
17294,1 顆星
2605,5 顆星
16459,3 顆星
22975,5 顆星
11634,4 顆星
27813,2 顆星
13512,1 顆星
5438,1 顆星
21541,2 顆星
23320,5 顆星
29541,5 顆星
14364,5 顆星
16432,5 顆星
16602,4 顆星
29307,5 顆星
22273,4 顆星
21452,5 顆星
9074,1 顆星
30572,5 顆星
176,1 顆星
14406,2 顆星
17561,3 顆星
13575,4 顆星
20318,1 顆星
4159,5 顆星
31017,1 顆星
1341,5 顆星
4208,1 顆星
11343,1 顆星
18003,1 顆星
9588,1 顆星
9789,1 顆星
30069,1 顆星
5836,3 顆星
22075,1 顆星
24534,3 顆星
24238,2 顆星
4963,1 顆星
18047,2 顆星
19617,5 顆星
8465,1 顆星
5265,1 顆星
28416,1 顆星
28514,4 顆星
16710,5 顆星
3984,1 顆星
2903,4 顆星
7030,2 顆星
19436,5 顆星
5121,3 顆星
31129,1 顆星
14893,4 顆星
31347,1 顆星
3304,1 顆星
18608,4 顆星
23719,1 顆星
20566,1 顆星
20004,1 顆星
22086,3 顆星
12318,1 顆星
1723,1 顆星
881,2 顆星
31202,2 顆星
12658,4 顆星
19029,2 顆星
30235,1 顆星
2114,2 顆星
4059,2 顆星
25995,4 顆星
30789,1 顆星
5515,2 顆星
15265,1 顆星
1762,2 顆星
22037,1 顆星
5986,1 顆星
4967,5 顆星
27229,1 顆星
29819,1 顆星
6184,1 顆星
6346,5 顆星
27208,3 顆星
4392,5 顆星
18294,1 顆星
13428,4 顆星
30223,5 顆星
9703,3 顆星
1581,1 顆星
25061,4 顆星
20005,1 顆星
9367,1 顆星
5609,1 顆星
725,5 顆星
10682,1 顆星
29856,5 顆星
27065,5 顆星
13811,1 顆星
12263,1 顆星
25325,1 顆星
27163,1 顆星
17752,4 顆星
13442,1 顆星
20954,3 顆星
9456,1 顆星
22692,1 顆星
6305,1 顆星
11065,1 顆星
14635,1 顆星
23783,4 顆星
4763,3 顆星
66,3 顆星
23395,4 顆星
23429,1 顆星
6317,1 顆星
25692,2 顆星
31256,1 顆星
3086,5 顆星
1331,1 顆星
11966,3 顆星
24878,1 顆星
17659,1 顆星
20770,3 顆星
17356,4 顆星
19801,5 顆星
2355,4 顆星
21617,1 顆星
23195,4 顆星
24440,5 顆星
5646,5 顆星
3446,1 顆星
15811,5 顆星
28713,1 顆星
22065,5 顆星
28594,1 顆星
869,1 顆星
11275,2 顆星
15246,1 顆星
29117,5 顆星
29683,3 顆星
2107,1 顆星
8225,1 顆星
20375,1 顆星
22344,1 顆星
22593,1 顆星
21734,2 顆星
20583,3 顆星
10400,1 顆星
21787,1 顆星
16262,1 顆星
1700,4 顆星
9055,1 顆星
11422,1 顆星
5037,4 顆星
14724,1 顆星
28933,2 顆星
15386,1 顆星
18271,5 顆星
27067,1 顆星
5673,4 顆星
24447,2 顆星
17101,5 顆星
643,2 顆星
6554,1 顆星
28562,2 顆星
11284,5 顆星
23690,5 顆星
29163,5 顆星
20964,1 顆星
16246,3 顆星
8429,1 顆星
1554,1 顆星
8902,4 顆星
7233,2 顆星
9471,4 顆星
16279,2 顆星
17343,3 顆星
15677,1 顆星
26063,5 顆星
22363,1 顆星
3208,1 顆星
18425,1 顆星
29000,5 顆星
4058,5 顆星
5706,1 顆星
22022,5 顆星
28002,5 顆星
24037,3 顆星
31460,4 顆星
13472,2 顆星
21507,5 顆星
26495,1 顆星
3983,1 顆星
15725,1 顆星
9001,4 顆星
6364,3 顆星
17067,5 顆星
19513,2 顆星
8811,1 顆星
8516,2 顆星
27261,1 顆星
14308,2 顆星
14414,1 顆星
22223,1 顆星
8608,1 顆星
24748,1 顆星
11941,1 顆星
17130,2 顆星
20733,1 顆星
14756,4 顆星
9918,5 顆星
20473,1 顆星
13304,5 顆星
18528,1 顆星
21210,5 顆星
2764,1 顆星
30310,1 顆星
4076,1 顆星
19994,5 顆星
17113,5 顆星
23256,1 顆星
31289,1 顆星
23399,1 顆星
16734,1 顆星
21890,1 顆星
11515,2 顆星
28792,3 顆星
30236,1 顆星
20763,4 顆星
25265,3 顆星
2768,5 顆星
31109,5 顆星
5705,1 顆星
10010,2 顆星
26090,5 顆星
18298,2 顆星
13833,1 顆星
8756,1 顆星
9736,1 顆星
29913,5 顆星
2164,4 顆星
22192,4 顆星
12643,5 顆星
6070,1 顆星
3946,3 顆星
5361,4 顆星
9129,1 顆星
8237,1 顆星
6339,4 顆星
26722,5 顆星
10865,1 顆星
26464,2 顆星
3266,3 顆星
7763,4 顆星
24484,3 顆星
28126,3 顆星
16394,5 顆星
30669,4 顆星
26449,5 顆星
14964,2 顆星
24935,1 顆星
7519,1 顆星
12198,2 顆星
19591,1 顆星
20497,1 顆星
25614,5 顆星
8531,3 顆星
2675,2 顆星
20278,1 顆星
13921,2 顆星
11600,5 顆星
16316,1 顆星
27816,1 顆星
30015,3 顆星
29754,1 顆星
30615,5 顆星
10539,1 顆星
1448,5 顆星
16758,2 顆星
4993,3 顆星
17142,4 顆星
11147,2 顆星
27108,2 顆星
20850,5 顆星
17770,1 顆星
21932,1 顆星
10765,1 顆星
17673,1 顆星
930,5 顆星
13118,5 顆星
30557,4 顆星
20845,2 顆星
15774,1 顆星
28189,1 顆星
20794,1 顆星
15173,4 顆星
22115,1 顆星
10189,1 顆星
22276,5 顆星
2616,3 顆星
5582,5 顆星
12121,5 顆星
15302,4 顆星
15391,1 顆星
5339,1 顆星
14267,1 顆星
22977,1 顆星
15784,1 顆星
16085,2 顆星
20043,5 顆星
1481,4 顆星
17463,1 顆星
2395,5 顆星
11342,2 顆星
12740,5 顆星
21588,4 顆星
15274,2 顆星
29109,1 顆星
6380,1 顆星
25118,3 顆星
27768,2 顆星
23624,1 顆星
21143,1 顆星
26594,4 顆星
30150,1 顆星
17748,4 顆星
12314,5 顆星
20359,2 顆星
6883,4 顆星
10909,1 顆星
22541,3 顆星
5205,5 顆星
2485,4 顆星
23680,1 顆星
29778,1 顆星
26405,1 顆星
26961,1 顆星
25534,1 顆星
40,1 顆星
20152,5 顆星
25320,1 顆星
4719,1 顆星
12641,1 顆星
273,1 顆星
15750,3 顆星
6397,5 顆星
21153,1 顆星
31118,3 顆星
14104,5 顆星
15278,5 顆星
14579,1 顆星
19245,5 顆星
19331,5 顆星
18826,1 顆星
20185,2 顆星
13465,2 顆星
7096,3 顆星
2413,1 顆星
28107,5 顆星
29952,1 顆星
29116,5 顆星
5180,2 顆星
9963,4 顆星
14206,3 顆星
29354,5 顆星
28538,3 顆星
28965,2 顆星
21513,1 顆星
3457,1 顆星
17593,1 顆星
26752,1 顆星
8760,5 顆星
18213,5 顆星
16974,5 顆星
24805,1 顆星
8216,5 顆星
6405,5 顆星
18629,4 顆星
8951,1 顆星
3151,5 顆星
10727,5 顆星
21972,1 顆星
2648,2 顆星
27764,1 顆星
29687,3 顆星
11161,2 顆星
27399,1 顆星
6776,1 顆星
4022,1 顆星
15102,1 顆星
30315,5 顆星
31255,5 顆星
9583,2 顆星
15213,1 顆星
8431,1 顆星
23466,1 顆星
703,4 顆星
21539,2 顆星
13078,2 顆星
5498,5 顆星
8159,1 顆星
4,5 顆星
16357,4 顆星
2556,3 顆星
4586,3 顆星
18751,5 顆星
18813,5 顆星
21748,1 顆星
30479,1 顆星
12378,5 顆星
1218,4 顆星
24882,1 顆星
22458,1 顆星
17185,1 顆星
15840,1 顆星
21482,4 顆星
25098,1 顆星
30533,1 顆星
22292,1 顆星
26526,5 顆星
27284,3 顆星
24434,1 顆星
10770,1 顆星
949,4 顆星
18894,1 顆星
19748,1 顆星
9429,1 顆星
22542,5 顆星
26133,4 顆星
2820,5 顆星
6245,3 顆星
344,4 顆星
24467,1 顆星
11538,2 顆星
20235,1 顆星
14228,1 顆星
20866,1 顆星
30856,1 顆星
5710,4 顆星
28939,4 顆星
25327,4 顆星
27104,5 顆星
26767,1 顆星
156,5 顆星
3954,5 顆星
26393,1 顆星
24499,1 顆星
8363,1 顆星
5202,5 顆星
19551,1 顆星
1020,4 顆星
12185,2 顆星
3506,3 顆星
173,1 顆星
1801,1 顆星
7215,2 顆星
6078,3 顆星
23288,3 顆星
2807,5 顆星
23834,5 顆星
22082,5 顆星
7372,3 顆星
5268,5 顆星
2224,3 顆星
12857,3 顆星
10969,1 顆星
7501,2 顆星
23147,3 顆星
21341,1 顆星
31375,1 顆星
8008,1 顆星
7160,2 顆星
15505,1 顆星
11660,3 顆星
21892,5 顆星
