index,pred
5488,1 顆星
8265,5 顆星
26508,5 顆星
3772,1 顆星
16762,1 顆星
31183,1 顆星
19974,5 顆星
9027,5 顆星
15004,5 顆星
29561,1 顆星
26460,5 顆星
30659,1 顆星
22352,1 顆星
1447,5 顆星
1015,1 顆星
7356,5 顆星
21884,1 顆星
16305,5 顆星
3806,2 顆星
9844,1 顆星
23008,1 顆星
11926,4 顆星
706,1 顆星
30626,3 顆星
17402,1 顆星
11505,5 顆星
16636,1 顆星
80,5 顆星
20013,5 顆星
18332,1 顆星
10314,1 顆星
6097,5 顆星
26749,5 顆星
11332,1 顆星
20749,1 顆星
17294,5 顆星
2605,1 顆星
16459,1 顆星
22975,1 顆星
11634,5 顆星
27813,5 顆星
13512,4 顆星
5438,5 顆星
21541,5 顆星
23320,5 顆星
29541,3 顆星
14364,1 顆星
16432,4 顆星
16602,5 顆星
29307,5 顆星
22273,1 顆星
21452,1 顆星
9074,1 顆星
30572,5 顆星
176,1 顆星
14406,1 顆星
17561,1 顆星
13575,5 顆星
20318,1 顆星
4159,5 顆星
31017,5 顆星
1341,5 顆星
4208,4 顆星
11343,1 顆星
18003,1 顆星
9588,1 顆星
9789,5 顆星
30069,5 顆星
5836,1 顆星
22075,5 顆星
24534,1 顆星
24238,1 顆星
4963,5 顆星
18047,1 顆星
19617,3 顆星
8465,1 顆星
5265,1 顆星
28416,2 顆星
28514,1 顆星
16710,3 顆星
3984,1 顆星
2903,5 顆星
7030,5 顆星
19436,5 顆星
5121,1 顆星
31129,1 顆星
14893,1 顆星
31347,5 顆星
3304,1 顆星
18608,1 顆星
23719,1 顆星
20566,1 顆星
20004,5 顆星
22086,1 顆星
12318,5 顆星
1723,1 顆星
881,5 顆星
31202,1 顆星
12658,5 顆星
19029,1 顆星
30235,5 顆星
2114,5 顆星
4059,5 顆星
25995,5 顆星
30789,5 顆星
5515,5 顆星
15265,5 顆星
1762,5 顆星
22037,1 顆星
5986,5 顆星
4967,1 顆星
27229,5 顆星
29819,1 顆星
6184,1 顆星
6346,5 顆星
27208,1 顆星
4392,5 顆星
18294,5 顆星
13428,5 顆星
30223,1 顆星
9703,1 顆星
1581,5 顆星
25061,5 顆星
20005,1 顆星
9367,5 顆星
5609,5 顆星
725,5 顆星
10682,1 顆星
29856,3 顆星
27065,5 顆星
13811,5 顆星
12263,5 顆星
25325,5 顆星
27163,1 顆星
17752,1 顆星
13442,5 顆星
20954,5 顆星
9456,1 顆星
22692,1 顆星
6305,1 顆星
11065,1 顆星
14635,5 顆星
23783,1 顆星
4763,1 顆星
66,5 顆星
23395,3 顆星
23429,1 顆星
6317,4 顆星
25692,5 顆星
31256,1 顆星
3086,5 顆星
1331,1 顆星
11966,1 顆星
24878,1 顆星
17659,1 顆星
20770,4 顆星
17356,5 顆星
19801,4 顆星
2355,1 顆星
21617,5 顆星
23195,1 顆星
24440,5 顆星
5646,4 顆星
3446,5 顆星
15811,4 顆星
28713,1 顆星
22065,1 顆星
28594,5 顆星
869,2 顆星
11275,5 顆星
15246,1 顆星
29117,5 顆星
29683,5 顆星
2107,1 顆星
8225,1 顆星
20375,1 顆星
22344,1 顆星
22593,2 顆星
21734,1 顆星
20583,5 顆星
10400,5 顆星
21787,5 顆星
16262,1 顆星
1700,4 顆星
9055,1 顆星
11422,1 顆星
5037,5 顆星
14724,1 顆星
28933,2 顆星
15386,1 顆星
18271,5 顆星
27067,5 顆星
5673,1 顆星
24447,1 顆星
17101,5 顆星
643,5 顆星
6554,5 顆星
28562,5 顆星
11284,5 顆星
23690,4 顆星
29163,5 顆星
20964,1 顆星
16246,5 顆星
8429,1 顆星
1554,1 顆星
8902,5 顆星
7233,5 顆星
9471,5 顆星
16279,5 顆星
17343,1 顆星
15677,1 顆星
26063,1 顆星
22363,5 顆星
3208,5 顆星
18425,4 顆星
29000,1 顆星
4058,1 顆星
5706,1 顆星
22022,5 顆星
28002,1 顆星
24037,1 顆星
31460,2 顆星
13472,1 顆星
21507,5 顆星
26495,4 顆星
3983,1 顆星
15725,1 顆星
9001,1 顆星
6364,1 顆星
17067,1 顆星
19513,5 顆星
8811,5 顆星
8516,1 顆星
27261,1 顆星
14308,1 顆星
14414,5 顆星
22223,1 顆星
8608,5 顆星
24748,5 顆星
11941,1 顆星
17130,5 顆星
20733,1 顆星
14756,1 顆星
9918,5 顆星
20473,5 顆星
13304,1 顆星
18528,1 顆星
21210,5 顆星
2764,1 顆星
30310,5 顆星
4076,5 顆星
19994,5 顆星
17113,5 顆星
23256,5 顆星
31289,5 顆星
23399,1 顆星
16734,1 顆星
21890,1 顆星
11515,5 顆星
28792,5 顆星
30236,3 顆星
20763,5 顆星
25265,5 顆星
2768,5 顆星
31109,4 顆星
5705,1 顆星
10010,5 顆星
26090,5 顆星
18298,1 顆星
13833,1 顆星
8756,1 顆星
9736,1 顆星
29913,1 顆星
2164,5 顆星
22192,1 顆星
12643,5 顆星
6070,5 顆星
3946,5 顆星
5361,5 顆星
9129,5 顆星
8237,5 顆星
6339,3 顆星
26722,5 顆星
10865,1 顆星
26464,5 顆星
3266,5 顆星
7763,5 顆星
24484,2 顆星
28126,1 顆星
16394,1 顆星
30669,5 顆星
26449,5 顆星
14964,1 顆星
24935,1 顆星
7519,1 顆星
12198,5 顆星
19591,1 顆星
20497,3 顆星
25614,5 顆星
8531,1 顆星
2675,5 顆星
20278,1 顆星
13921,1 顆星
11600,2 顆星
16316,5 顆星
27816,5 顆星
30015,3 顆星
29754,1 顆星
30615,5 顆星
10539,1 顆星
1448,5 顆星
16758,5 顆星
4993,1 顆星
17142,1 顆星
11147,1 顆星
27108,5 顆星
20850,1 顆星
17770,5 顆星
21932,5 顆星
10765,1 顆星
17673,1 顆星
930,1 顆星
13118,1 顆星
30557,5 顆星
20845,1 顆星
15774,4 顆星
28189,5 顆星
20794,4 顆星
15173,5 顆星
22115,1 顆星
10189,1 顆星
22276,1 顆星
2616,5 顆星
5582,3 顆星
12121,5 顆星
15302,5 顆星
15391,5 顆星
5339,5 顆星
14267,1 顆星
22977,5 顆星
15784,5 顆星
16085,1 顆星
20043,2 顆星
1481,5 顆星
17463,4 顆星
2395,5 顆星
11342,5 顆星
12740,1 顆星
21588,5 顆星
15274,5 顆星
29109,1 顆星
6380,1 顆星
25118,1 顆星
27768,5 顆星
23624,1 顆星
21143,1 顆星
26594,5 顆星
30150,1 顆星
17748,1 顆星
12314,3 顆星
20359,4 顆星
6883,2 顆星
10909,1 顆星
22541,5 顆星
5205,5 顆星
2485,5 顆星
23680,1 顆星
29778,1 顆星
26405,1 顆星
26961,4 顆星
25534,5 顆星
40,5 顆星
20152,1 顆星
25320,4 顆星
4719,1 顆星
12641,1 顆星
273,1 顆星
15750,5 顆星
6397,5 顆星
21153,1 顆星
31118,1 顆星
14104,5 顆星
15278,5 顆星
14579,4 顆星
19245,1 顆星
19331,5 顆星
18826,1 顆星
20185,1 顆星
13465,5 顆星
7096,1 顆星
2413,1 顆星
28107,5 顆星
29952,5 顆星
29116,1 顆星
5180,5 顆星
9963,5 顆星
14206,5 顆星
29354,1 顆星
28538,5 顆星
28965,5 顆星
21513,5 顆星
3457,1 顆星
17593,1 顆星
26752,5 顆星
8760,4 顆星
18213,5 顆星
16974,1 顆星
24805,5 顆星
8216,5 顆星
6405,5 顆星
18629,5 顆星
8951,1 顆星
3151,4 顆星
10727,1 顆星
21972,4 顆星
2648,5 顆星
27764,1 顆星
29687,1 顆星
11161,4 顆星
27399,5 顆星
6776,5 顆星
4022,5 顆星
15102,5 顆星
30315,5 顆星
31255,5 顆星
9583,2 顆星
15213,1 顆星
8431,5 顆星
23466,3 顆星
703,5 顆星
21539,1 顆星
13078,5 顆星
5498,1 顆星
8159,5 顆星
4,1 顆星
16357,5 顆星
2556,5 顆星
4586,2 顆星
18751,1 顆星
18813,5 顆星
21748,5 顆星
30479,1 顆星
12378,5 顆星
1218,1 顆星
24882,1 顆星
22458,5 顆星
17185,1 顆星
15840,5 顆星
21482,5 顆星
25098,1 顆星
30533,5 顆星
22292,1 顆星
26526,1 顆星
27284,1 顆星
24434,1 顆星
10770,1 顆星
949,3 顆星
18894,1 顆星
19748,3 顆星
9429,5 顆星
22542,5 顆星
26133,5 顆星
2820,4 顆星
6245,5 顆星
344,1 顆星
24467,1 顆星
11538,1 顆星
20235,5 顆星
14228,5 顆星
20866,1 顆星
30856,5 顆星
5710,4 顆星
28939,5 顆星
25327,1 顆星
27104,5 顆星
26767,1 顆星
156,5 顆星
3954,5 顆星
26393,1 顆星
24499,1 顆星
8363,1 顆星
5202,1 顆星
19551,1 顆星
1020,5 顆星
12185,1 顆星
3506,5 顆星
173,5 顆星
1801,5 顆星
7215,1 顆星
6078,1 顆星
23288,3 顆星
2807,5 顆星
23834,1 顆星
22082,1 顆星
7372,1 顆星
5268,5 顆星
2224,3 顆星
12857,5 顆星
10969,2 顆星
7501,5 顆星
23147,1 顆星
21341,5 顆星
31375,5 顆星
8008,5 顆星
7160,5 顆星
15505,1 顆星
11660,1 顆星
21892,1 顆星
29584,5 顆星
11179,1 顆星
19088,1 顆星
29811,5 顆星
24823,1 顆星
4492,5 顆星
2694,1 顆星
3485,5 顆星
1253,5 顆星
1842,4 顆星
26469,1 顆星
20602,3 顆星
3811,5 顆星
14346,5 顆星
27844,1 顆星
9428,1 顆星
6813,5 顆星
21818,1 顆星
26305,5 顆星
15684,1 顆星
20723,5 顆星
23523,1 顆星
24772,1 顆星
13214,1 顆星
12042,5 顆星
28250,5 顆星
21779,1 顆星
10783,1 顆星
8989,1 顆星
18504,5 顆星
24835,5 顆星
8184,5 顆星
21328,5 顆星
6010,5 顆星
9877,1 顆星
23150,1 顆星
25481,5 顆星
1869,5 顆星
6076,5 顆星
12234,5 顆星
19678,5 顆星
25545,5 顆星
711,5 顆星
29551,1 顆星
12375,4 顆星
29959,1 顆星
22287,5 顆星
26993,5 顆星
17590,1 顆星
11724,2 顆星
28529,5 顆星
1029,5 顆星
2348,1 顆星
29609,1 顆星
9316,5 顆星
7830,5 顆星
497,5 顆星
6902,1 顆星
3912,5 顆星
2739,5 顆星
5138,1 顆星
25368,5 顆星
30307,4 顆星
22189,1 顆星
18966,1 顆星
5480,1 顆星
19053,1 顆星
3279,3 顆星
