index,name,score,dtm,text,app_name,text_length
17411,Joey Teng,1 顆星,2022年3月21日,為什麼一直顯示此app非自官方授權之商店下載，要我重新在play商店下載，可是我重新下載後還是不能用。,永豐行動銀行,51
29579,Ryan Wu,4 顆星,2022年11月22日,新開戶輸入邀請碼 6P5YJ 可以獲得200點唷 一點等於一元 2022/11/22 現在開戶有六萬元內高達年息3.2％，六萬以上有1.3％… 刷卡5%回饋 詳情以官網為準,將來銀行 NEXT BANK,86
22199,劉仲軒,1 顆星,2022年3月5日,一開程式就一直跳出妥善保存截圖的通知，點掉又一直出現，完全無法登入使用，爛死,合作金庫銀行,38
6663,林思佑,5 顆星,2022年8月25日,使用簡單，但功能可以繼續優化 當作電子支付用,中國信託行動銀行 Home Bank,22
20748,史萊姆陳,1 顆星,2022年7月22日,使用者名稱不能包含生日等資訊？別的銀行都可以就你最特別？只是名稱而已又不是沒有其他保護機制？,玉山行動銀行,46
21517,Milk tea,1 顆星,2021年11月11日,更新完後，app光是要登入完全一直轉圈， 等了一陣子上面的讀取條也沒有動... 得跳出不讓他轉，輸入帳密後， 進去點了任何一個選項，就是只有卡住的讀取條也沒動！ 去電腦版要查即時刷卡的金額也找不到， 這樣真的很麻煩，無法知道戶頭/刷卡目前金額多少... 是否能盡快熱修？,玉山行動銀行,135
28769,Max Chang,3 顆星,2024年3月29日,昨日更新，目前無法使用，都閃退，重新安裝也一樣。,DBS digibank TW 星展行動銀行,24
30203,Jië Yang,5 顆星,2023年9月4日,輸入推薦碼：CBDK3H 一起領600獎金！,樂天國際商業銀行,22
30653,莫問,5 顆星,2021年9月25日,速度可以稱的上亞洲第一完美 客戶視訊男的帥親切應變能力都超越五星級 女客服溫柔甜美不嬌說話聲音清晰一句就懂 帳戶有可疑動作信箱會確認手機會簡訊告知簡訊信箱未讀取確認高階主管來電關懷提醒 完全沒有其它間銀行的高傲嬌縱，絕對客戶至上。,樂天國際商業銀行,115
9077,Alex Chao,5 顆星,2022年1月8日,迅速通知帳戶訊息，唯期盼任何支出收入都能通知提醒（例年金等）,中國信託行動銀行 Home Bank,30
25895,TH S,1 顆星,2022年7月19日,利率降低就算了，app還常常更新，而且不更新就不給用，要領錢還要等更新完才能用，超級超級超級不便民,Richart,49
13813,有風lin,1 顆星,2021年11月11日,叫我重新更新，然後無法更新所以移除後，要重新下載但都下載不下來。但我太太的手機可以下載，這是跟手機的機型有關係嗎？我的手機是華為P20，原本未更新前都使用好好的。求救都無法網路匯款。,兆豐銀行,91
23866,蕭同仁,2 顆星,2022年4月12日,明明沒有登入，系統顯示登入，重開機仍然一樣，顯示沒有回應。。。甚至到後來把我的指紋登入移除掉，很擔心是否被駭！,台新銀行行動銀行,55
134,kofz ti,4 顆星,2024年2月28日,覺得koko，舊版比較好用，有交易明細，要轉帳，也比較容易操作。 轉帳需要交易碼，系統一直在忙碌中（急,國泰世華網路銀行CUBE,51
2975,心靈點滴,1 顆星,2022年6月9日,很爛的畫面 你們自己也去看一下你們app 有那家顯示“金額“是直立式的 1 1 1 . 2 這樣顯示的,國泰世華網路銀行CUBE,51
28593,*•*愛麗兒,4 顆星,2022年2月16日,卡片發送失敗從新改了住址卻沒反應、也不知道公司方面收到消息了沒？,LINE Bank,32
6927,陳建宏,1 顆星,2022年7月5日,今天完全無法登入，到底是在搞什麼？該不是要倒閉了吧！,中國信託行動銀行 Home Bank,26
24196,王智弘（金乘五）,1 顆星,2022年1月21日,鎖了網銀不給登入，強迫來更新卻又不能更新，是怎樣！！ 爛網銀，上班時間要人更新 怎匯款啦！ 無理,台新銀行行動銀行,48
27525,dekatria G,1 顆星,2022年10月23日,23/10/22：觸控範圍被功能介面通知鈕重製蓋掉啦，在更新放上來前會不會檢查啊！ 以下常駐：設計簡陋就算了，不同帳戶、信用卡、不同月份的明細，全部都混放在一起，我還得每個月等信箱看，那這個軟體有什麼意義？年初反映到現在一個都沒改！ 還有一堆不知道幹嘛用的內建互動模塊，超連結，要不是安全性我乾脆用網頁版就好了。,新光銀行,156
8386,miki Life,2 顆星,2022年3月12日,為什麼已經重新安裝了 App打開還一直顯示要更新,中國信託行動銀行 Home Bank,24
7131,沈里軒,1 顆星,2022年6月7日,更新之後真的變不好用 沒辦法在app上找到轉帳之類的交易明細了 pdf下載下來也看不到備註 （我都會註記這筆金額是做什麼的） 倒是更新過後，廣告跟你們的業務項目變得更明顯和清楚了 但是基本功能不好用，誰還會在意那些業務啊！,中國信託行動銀行 Home Bank,111
25069,洪彬峰,1 顆星,2023年8月30日,更新後變得很難用，是那個腦殘設計這種介面，poco f3退出後會一直停留在登入app畫面，爛東西！,Richart,49
10446,Erasmus Z,1 顆星,2023年7月15日,要我更新才能進去，結果一直死循環，一點開啟app就跳到play要我更新，但是沒有play又沒有可更新的選項就只能開啟跟解除安裝....點了開啟就重複跳出要我進到play更新的畫面.....一直在重複，解除安裝重新安裝還是一樣....啥爛東西？？？？,富邦行動銀行,124
29645,Eating Kuo,1 顆星,2022年10月6日,到底要不要讓人申請阿？一掃證件就卡住，根本就沒辦法申請,將來銀行 NEXT BANK,27
5086,陳小胖,1 顆星,2023年9月1日,很好笑，為了手機設計的服務，結果有問題打專線，不服務手機，只能用有線電話，腦袋裝什麼？,中國信託行動銀行 Home Bank,43
31041,Eric chung,1 顆星,2022年7月9日,跟樓下一樣的狀況，說登入異常，帳密打了都不對,臺灣銀行-網路銀行隨身版,22
15498,vlad Kao,2 顆星,2022年8月22日,用到現在才發現帳務明細內居然沒有交易記錄的時間，對帳時真的相當不方便，希望記錄除了日期還能加上時間,第一銀行 第e行動,49
5369,Lin Ichen,3 顆星,2023年6月24日,搞什麼東西 明明設定好了 app收OPT 驗證碼 一個更新有被改成簡訊收碼 害我在國外就完全不能使用轉帳功能 真誤事,中國信託行動銀行 Home Bank,58
8014,三ツ星ノ霜月,4 顆星,2022年3月16日,請問是不是更新過後，刷卡後未出帳金額都不會變更新了？,中國信託行動銀行 Home Bank,26
11138,Su Hui Huang,1 顆星,2023年7月14日,說已更新，要求客戶更新，但怎樣按，就只是出現要求更新...怎大銀行的程式設計師專業那樣差？,富邦行動銀行,45
10109,Ony and,1 顆星,2023年7月24日,你們app說真的線上繳費處理效率有夠差的，剛辦好信用卡，想說試刷一下，一筆300多元，用app轉帳付，過了4-5天了，看app上信用卡帳單依舊在，用手機打到客服花了超久時間，光打這通電話費就108元，語音信箱唸一大堆要我等待客服等了近10分鍾什情況，辦事效率不予自評，也就算了，貸款扣款就效率特別的好馬上就扣款，真的有夠讓人傻眼，讓我信用卡不想用也沒那意願用，對你們的銀行超無言的，如不是日盛跟富邦合併沒辦法，不然打死我再也不會想在富邦開戶，因以前也因帳單問題害我信用破產，麻煩改進一下好嗎,富邦行動銀行,245
23361,komatsu chen,1 顆星,2023年6月18日,請問交易明細能否顯示備註，每次都要點進去才能知道這筆款項是做什麼用的，不能跟richart 一樣可以同時顯示該筆款項的備註嗎？還有備註為什麼不能當天就自己備註，還要等兩天後，誰會記得啊！然後買賣股票後還沒交割前，每次看到總金額都不對，不能先同步計算嗎？每次都要自己算很麻煩，雖然還沒正式交割有交易記錄，但首頁的總金額應該可以計算一下吧！每次都要等兩天才會看到正確的數字。,台新銀行行動銀行,185
15041,束辛,1 顆星,2021年12月5日,請問元大今天是怎了一直進不去一整個畫面都白白的,元大銀行 Yuanta Commercial Bank,23
1389,黃愛狗人士,3 顆星,2023年3月11日,登入後，跳出更新資料窗口，不斷閃退回登入畫面,國泰世華網路銀行CUBE,22
18815,凌凌漆,1 顆星,2022年10月5日,登入LAG，點介面LAG，上一頁LAG，一直轉圈圈。,華南銀行+,26
31442,蕭聰鴻,5 顆星,2021年9月30日,無法下載，上次反應後有改善，但是最近無法更新,臺灣銀行-網路銀行隨身版,22
10050,Wei-han Chang,5 顆星,2023年8月4日,建議轉帳完成通知收款人，可直接提供轉帳貼圖。,富邦行動銀行,22
31225,昇,1 顆星,2022年5月18日,原本好好的 強制更新後變不能用 好好的把它改爛是什麼意思 可以連星都不給嗎,臺灣銀行-網路銀行隨身版,37
2186,gmail chn5308,1 顆星,2022年10月28日,老是要用人臉辨識，無卡提款也要人臉辨識，有夠爛的，你人臉辨識有比蘋果厲害嗎？蘋果都不是很穩定了，真不知道在想甚麼？,國泰世華網路銀行CUBE,57
8628,Olivia Chen,1 顆星,2022年3月12日,一直要求進行版本更新，明明已是最新版本。根本不能使用，體驗非常差,中國信託行動銀行 Home Bank,32
