index,name,score,dtm,text,app_name,text_length
6229,李湘琪,5 顆星,2022年11月15日,很方便,中國信託行動銀行 Home Bank,3
17693,劉士瑋,5 顆星,2021年9月4日,讚喔～,永豐行動銀行,3
19093,孫建容,5 顆星,2024年3月26日,真棒！,玉山行動銀行,3
19216,黃麗姍,5 顆星,2024年2月23日,還不錯,玉山行動銀行,3
22164,林銘源,5 顆星,2022年4月14日,很方便,合作金庫銀行,3
3961,張祐程,5 顆星,2022年1月21日,很OK,國泰世華網路銀行CUBE,3
7136,tzu-jun liu,5 顆星,2022年6月6日,很方便,中國信託行動銀行 Home Bank,3
16990,南山人壽-勁德何秋旻,4 顆星,2023年3月10日,很方便,永豐行動銀行,3
30444,白東原,5 顆星,2022年8月26日,超棒的,樂天國際商業銀行,3
22948,鄭詠琪,5 顆星,2022年11月10日,👍👍👍,凱基銀行,3
11283,Wu Mickey,5 顆星,2023年7月4日,很好用,富邦行動銀行,3
31325,William Tseng,1 顆星,2021年12月15日,有夠爛,臺灣銀行-網路銀行隨身版,3
19074,彭惠雲,5 顆星,2024年3月30日,很好用,玉山行動銀行,3
9193,Michael Huang Michael Huang,5 顆星,2021年12月23日,好用！,中國信託行動銀行 Home Bank,3
27271,浦萄祐,1 顆星,2023年9月29日,爛東西,新光銀行,3
9327,李啟富,5 顆星,2024年2月22日,還不賴,富邦行動銀行,3
11584,吳銘適,1 顆星,2023年4月6日,搞半天,富邦行動銀行,3
7077,張道揚,5 顆星,2022年6月15日,很便利,中國信託行動銀行 Home Bank,3
5228,willy lo,5 顆星,2023年7月26日,我喜歡,中國信託行動銀行 Home Bank,3
31083,James Perng,4 顆星,2022年6月16日,方便！,臺灣銀行-網路銀行隨身版,3
19444,oscar Lu,5 顆星,2023年12月8日,好服務,玉山行動銀行,3
8428,北健腿王,1 顆星,2022年3月12日,不好用,中國信託行動銀行 Home Bank,3
12872,Lee思彤,4 顆星,2022年2月5日,很方便,富邦行動銀行,3
15715,林麗萍,5 顆星,2022年3月3日,好操作,第一銀行 第e行動,3
17734,李Jeff,5 顆星,2021年8月3日,讚！！,永豐行動銀行,3
16963,黃月娟,4 顆星,2023年4月2日,不錯用,永豐行動銀行,3
10084,Ivan Huang,5 顆星,2023年8月1日,🥰😍😘,富邦行動銀行,3
19574,"Tony, Kai-Yun Shuai",5 顆星,2023年11月3日,很好用,玉山行動銀行,3
27815,張耀隆,5 顆星,2022年1月7日,滿意，,新光銀行,3
11933,孫銘聰,4 顆星,2022年11月2日,還不錯,富邦行動銀行,3
2022,Necoo Liu,1 顆星,2022年12月1日,常當機,國泰世華網路銀行CUBE,3
12746,劉翠芳,5 顆星,2022年3月4日,很方便,富邦行動銀行,3
5863,陳阿吉,5 顆星,2023年2月13日,幾霸昏,中國信託行動銀行 Home Bank,3
19722,黃琇稜,4 顆星,2023年10月5日,不錯用,玉山行動銀行,3
2934,沈小玲,5 顆星,2022年6月18日,謝謝您,國泰世華網路銀行CUBE,3
24624,張宗賢,5 顆星,2024年2月29日,很方便,Richart,3
2537,鍾淑芬,5 顆星,2022年8月23日,好方便,國泰世華網路銀行CUBE,3
31420,賴小唯,5 顆星,2021年10月5日,很方便,臺灣銀行-網路銀行隨身版,3
4779,謝佩珊,5 顆星,2023年11月20日,很方便,中國信託行動銀行 Home Bank,3
5995,Ya-Xin Jiang,5 顆星,2023年1月5日,很方便,中國信託行動銀行 Home Bank,3
2716,azc3144,5 顆星,2022年7月24日,很方便,國泰世華網路銀行CUBE,3
27802,鄭詠琪,5 顆星,2022年1月17日,👍👍👍,新光銀行,3
6410,天之龍,5 顆星,2022年10月10日,好方便,中國信託行動銀行 Home Bank,3
21216,鄺懋勤,3 顆星,2022年2月25日,太麻烦,玉山行動銀行,3
325,danny lin,1 顆星,2024年1月10日,爛死了,國泰世華網路銀行CUBE,3
12282,陳東彬,5 顆星,2022年7月5日,畫面好,富邦行動銀行,3
18247,魏阿榮,5 顆星,2023年12月29日,不錯用,華南銀行+,3
13083,boy520168,5 顆星,2021年12月6日,讚👍👍,富邦行動銀行,3
4170,kitty友佳,5 顆星,2021年12月28日,效率好,國泰世華網路銀行CUBE,3
18289,謝秉原,5 顆星,2023年12月28日,很好用,華南銀行+,3
6250,lai James,5 顆星,2022年11月10日,好棒！,中國信託行動銀行 Home Bank,3
12524,夜櫻楓,5 顆星,2022年5月3日,很方便,富邦行動銀行,3
27941,紀小曼,5 顆星,2023年11月15日,超喜歡,LINE Bank,3
6436,penny chi,4 顆星,2022年10月3日,速度快,中國信託行動銀行 Home Bank,3
9179,黃雅萍,4 顆星,2021年12月24日,很方便,中國信託行動銀行 Home Bank,3
976,黃才維,5 顆星,2023年7月4日,好用的,國泰世華網路銀行CUBE,3
1765,林 江海,5 顆星,2022年12月28日,很方便,國泰世華網路銀行CUBE,3
25227,Yoson Xie,1 顆星,2023年8月8日,爛爆了,Richart,3
21066,芳倩林,1 顆星,2022年4月1日,糟透了,玉山行動銀行,3
15355,Diego Lin,5 顆星,2023年3月3日,我喜歡,第一銀行 第e行動,3
30675,Chihhsing Kuo,1 顆星,2024年1月8日,打不開,臺灣銀行-網路銀行隨身版,3
9655,Apple Ma,5 顆星,2023年11月14日,很好用,富邦行動銀行,3
6652,dielikey D,5 顆星,2022年8月26日,很方便,中國信託行動銀行 Home Bank,3
3908,黃鈞雄,1 顆星,2022年1月24日,爛透了,國泰世華網路銀行CUBE,3
13044,蔡森州,5 顆星,2021年12月22日,好方便,富邦行動銀行,3
9688,鄧麗君,5 顆星,2023年11月5日,很棒！,富邦行動銀行,3
6099,翁祖賢,5 顆星,2022年12月12日,很方便,中國信託行動銀行 Home Bank,3
25690,許治宏,5 顆星,2022年11月25日,不錯用,Richart,3
5587,羅先生,5 顆星,2023年4月24日,不錯用,中國信託行動銀行 Home Bank,3
12787,詹大衛（俠客）,5 顆星,2022年3月1日,還不錯,富邦行動銀行,3
1748,黃玉珠,5 顆星,2023年1月3日,很便利,國泰世華網路銀行CUBE,3
28494,徐辰,5 顆星,2022年4月1日,很方便,LINE Bank,3
13519,od do,1 顆星,2022年10月18日,有夠爛,兆豐銀行,3
20455,周曉汶,5 顆星,2022年11月5日,😃😀😄,玉山行動銀行,3
22577,達之謝,1 顆星,2020年9月15日,不好用,合作金庫銀行,3
5204,阿和,5 顆星,2023年8月1日,👍👍👍,中國信託行動銀行 Home Bank,3
21981,丸子妹,4 顆星,2023年1月14日,很滿意,合作金庫銀行,3
26589,Google 使用者,5 顆星,2021年11月11日,很方便,Richart,3
3868,吳昌遠,4 顆星,2022年1月27日,習慣中,國泰世華網路銀行CUBE,3
17083,林儀瑄,4 顆星,2023年1月7日,很便利,永豐行動銀行,3
19358,Danny Wu,5 顆星,2024年1月11日,非常棒,玉山行動銀行,3
9226,sc you,5 顆星,2024年3月28日,很順手,富邦行動銀行,3
30512,John Kuo,5 顆星,2022年6月30日,很好用,樂天國際商業銀行,3
15489,黃敏卿,5 顆星,2022年8月30日,好用也,第一銀行 第e行動,3
28058,張龍泉,5 顆星,2023年6月21日,說不出,LINE Bank,3
1502,圓仔,5 顆星,2023年2月11日,很明瞭,國泰世華網路銀行CUBE,3
19978,張世和,5 顆星,2023年7月10日,好又快,玉山行動銀行,3
3874,Sk Chen,5 顆星,2022年1月27日,很方便,國泰世華網路銀行CUBE,3
29228,陳明雄,5 顆星,2020年12月29日,非常好,DBS digibank TW 星展行動銀行,3
22658,張予庭,5 顆星,2020年6月22日,很方便,合作金庫銀行,3
12845,Kevin Huang,5 顆星,2022年2月9日,很方便,富邦行動銀行,3
11329,MYMY GU,5 顆星,2023年6月18日,很好用,富邦行動銀行,3
10326,張昱國,5 顆星,2023年7月15日,反應快,富邦行動銀行,3
2170,李彥蓁,5 顆星,2022年11月2日,還可以,國泰世華網路銀行CUBE,3
19943,林Bento,5 顆星,2023年7月21日,真方便,玉山行動銀行,3
25622,石財旺,5 顆星,2023年1月9日,很方便,Richart,3
15851,陳聰敏,5 顆星,2022年1月5日,方便！,第一銀行 第e行動,3
29061,CHIEH,1 顆星,2022年12月29日,很難用,DBS digibank TW 星展行動銀行,3
1172,柯國元,4 顆星,2023年5月3日,很方便,國泰世華網路銀行CUBE,3
13012,無名,3 顆星,2022年1月1日,不錯用,富邦行動銀行,3
898,王柏濟,5 顆星,2023年8月4日,好用~,國泰世華網路銀行CUBE,3
