index,name,score,dtm,text,app_name,text_length
26265,東方洬,5 顆星,2022年2月16日,非常好用的app,Richart,8
26212,GFL,1 顆星,2022年3月12日,一直載入中轉圈 無法正常開啟,Richart,14
19333,Lydia Lee,5 顆星,2024年1月21日,帳戶各個內容，清楚又方便使用,玉山行動銀行,14
27122,黃秋奇,5 顆星,2023年11月24日,新版本好用，使用容易,新光銀行,10
13176,曾家艎,5 顆星,2021年11月15日,簡單明瞭好操作！,富邦行動銀行,8
5497,KC SUNG,5 顆星,2023年5月21日,使用者界面很友善,中國信託行動銀行 Home Bank,8
29329,林依然,1 顆星,2023年9月8日,9.9購物節凌晨維護，真的優秀,將來銀行 NEXT BANK,15
3704,羅志汶,2 顆星,2022年2月24日,我要買一張您們家的人壽險。,國泰世華網路銀行CUBE,13
21124,Kitty Wang,3 顆星,2022年3月29日,突然没办法进去银行了😥,玉山行動銀行,11
7011,janet chi,1 顆星,2022年6月21日,從早上一直無法完成更新使用,中國信託行動銀行 Home Bank,13
13393,黃治維,2 顆星,2023年8月2日,無法更新至最新版本,兆豐銀行,9
25199,黃珈溶,1 顆星,2023年8月9日,更新完 一直出現停止服務,Richart,12
12940,SANDY CHEN,5 顆星,2022年1月10日,操作簡單快速，又方便！,富邦行動銀行,11
415,Homing Liu,5 顆星,2023年12月26日,非常專業、智能的app💖✨,國泰世華網路銀行CUBE,13
17843,李建宏,3 顆星,2024年4月3日,要常更新才能進入,華南銀行+,8
9977,Tony Lu,5 顆星,2023年8月22日,Excellent,富邦行動銀行,9
6218,Jimmy Huang,5 顆星,2022年11月17日,免手續費優惠就是讚！,中國信託行動銀行 Home Bank,10
16200,劉建亨,5 顆星,2024年4月4日,有免手續費轉帳，畫面清楚，推,永豐行動銀行,14
18185,L KK_K,2 顆星,2024年1月2日,普通不值一題，登入煩雜,華南銀行+,11
11771,ゆきな-VV,1 顆星,2023年1月17日,登錄成功後還是停留在登入中畫面,富邦行動銀行,15
11569,楊惟超,5 顆星,2023年4月10日,簡單， 方便， 好用,富邦行動銀行,10
26596,yuchi lin,1 顆星,2021年11月7日,"請問,r幣會員就無法開戶嗎？",Richart,14
30933,細菌,3 顆星,2022年11月16日,賬戶金額異動不會跳通知,臺灣銀行-網路銀行隨身版,11
9523,Joshua Sun,1 顆星,2023年12月14日,綁定集保e存摺很容易失敗,富邦行動銀行,12
5761,潘柏翔,1 顆星,2023年3月7日,希望維修的公告可以再清楚一點,中國信託行動銀行 Home Bank,14
9701,劉得利,5 顆星,2023年11月3日,很好，沒出過問題。,富邦行動銀行,9
12410,Sherry Wang,5 顆星,2022年6月1日,明細清楚，操作簡單易懂,富邦行動銀行,11
31382,陳美如,1 顆星,2021年10月16日,更新也等太久了😡😡😡,臺灣銀行-網路銀行隨身版,10
8267,曉梵老師,2 顆星,2022年3月12日,一直要更新，又無法更新，很麻煩,中國信託行動銀行 Home Bank,15
2429,Quentin Tsai,5 顆星,2022年9月14日,方便快速，換匯最優惠,國泰世華網路銀行CUBE,10
24900,陳愉淵,1 顆星,2023年11月19日,假日是可以不用上班的喔,Richart,11
710,林宗億,5 顆星,2023年10月3日,請問解定存該如何操作,國泰世華網路銀行CUBE,10
6657,柯旭東,5 顆星,2022年8月26日,介面可愛且人性化，操作好上手~,中國信託行動銀行 Home Bank,15
13648,Pink liu,5 顆星,2022年4月23日,滿好用的 有網銀就是方便,兆豐銀行,12
18380,詹昌旌,1 顆星,2023年8月28日,要嘛登不進去 要嘛登進去跑不動,華南銀行+,15
9038,Shen Yang,1 顆星,2022年1月8日,在搞什麼怎麼不能更新了？,中國信託行動銀行 Home Bank,12
