index,pred,text
5488,1 顆星,這次更新後信用卡扣款繳費之前有雲林口湖的漁會可使用扣繳但更新後就沒有了請工程師查看問題謝謝 維修更新後還是沒有的代碼
8265,1 顆星,從下午到晚上更新一直轉圈圈
26508,1 顆星,打不開……
3772,5 顆星,"快速正確,貼心服務"
16762,1 顆星,瘋狂閃退而且一直自動登出還沒通知打字打完要交易才發現被自動登出了==
31183,1 顆星,好不容易進步一點又在關鍵時刻出大包忙著匯款卻跟我說連線異常叫我打電話給客服打個半死聽語音到爆後才有人跟我說app當掉要我重新下載真是無言！真的沒人才了嗎？酬庸也該找專業的吧！
19974,5 顆星,操作方便
9027,5 顆星,讚
15004,1 顆星,慢........... 還沒更新成功
29561,1 顆星,證件反面怎麼都無法辨識放棄！
26460,5 顆星,好用
30659,1 顆星,為什麼行員要阻止我申請otp功能啊~~~~~幾個字公告就直接停用了什麼安檢功能？現在完全不能轉帳了不要整人行行好
22352,1 顆星,一直闪退无限重复同步不是薪专户真心不想用
1447,1 顆星,沒效率
1015,5 顆星,非常的方便好用喔 操作簡單
7356,1 顆星,新版首頁的投資 金額數字這麼大 又不能隱藏 搭車的時候不就大家都看得到你有多少錢？請改善
21884,1 顆星,螢幕截屏會變黑屏 可以關閉黑屏的功能嗎
16305,5 顆星,方便好用
3806,5 顆星,bad
9844,1 顆星,app的名稱請改成“富邦銀行”不要用“富邦行動銀行”現在每個app都是行動的了還特別強調“行動”不是多此一舉嗎？謝謝！
23008,5 顆星,【已解決】信用卡會員重新註冊即可使用!
11926,5 顆星,人性化的設計
706,1 顆星,申購基金畫面每次進去就開始卡連打數字都好幾秒甚至一兩分鐘才跑出一個字是過購買基金系統最爛的銀行
30626,5 顆星,畫面簡潔操作容易～
17402,1 顆星,明明從這裡下載為什麼不可以開啟啊
11505,5 顆星,非常好用
16636,5 顆星,安全便利
80,5 顆星,好用
20013,5 顆星,玉山銀行真的很好用愛了
18332,1 顆星,刷卡完之後傳送訊息很慢餘額也無法立即更改而且刷完卡之後帳戶餘額有誤要打電話給網路客服卻直接閃退出網路銀行真是用過速度最慢的網銀
10314,1 顆星,更新後無法開啟關機重新下載都不行
6097,5 顆星,好用！
26749,1 顆星,無法登入卸載重安裝也一樣一直在同個畫面轉
11332,1 顆星,這是我用過最醜最難用的網銀app請參考一下台新richart或玉山好嗎?
20749,1 顆星,".進入換頁速度比較慢 .實體卡核可,應該可在app內提供卡片資訊,可快速開卡,進行網購交易 因為收到實體卡之前,沒收到卡片開卡需要的資訊例如卡號效期背面號碼,無法開卡"
17294,5 顆星,很愛這家銀行
2605,5 顆星,太方便太好用轉帳功能非常棒。
16459,5 顆星,服務很好以顧客為尊的銀行
22975,5 顆星,還是舊版順暢好用直接快速這個新版失敗轉接點和確認框太多了查詢變耗時而且程式還卡卡的轉帳功能好多了指紋驗證不用再癡等收不到的簡訊
11634,5 顆星,讚
27813,5 顆星,好用
13512,5 顆星,好
5438,5 顆星,好
21541,5 顆星,好用
23320,1 顆星,真爛
29541,1 顆星,手機驗證碼發了五次都收不到 怎麼開辦
14364,1 顆星,更新後匯款後都不能截圖之前都能截圖..是否能改回能截圖不然很不方便。
16432,5 顆星,帳號提醒功能真的很棒
16602,5 顆星,good
29307,1 顆星,vlsa是屬于什麼
22273,1 顆星,申請後每次打開都要更新 轉很久一直無法使用跑了幾趟臨櫃 要登入需打身份證號使用者代號密碼使用一次轉帳後無法登入使用者代號不見了到底要幾組密碼？使用者代號一大堆跑一躺臨櫃使用一次 ！比跑臨櫃還麻煩請問貴合庫設這app是在整客戶嗎？
21452,1 顆星,更新後介面變複雜舊版的所需資訊一目了然新版的還要進去子目錄找越來越麻煩。
9074,1 顆星,不能更新啊這在搞甚麼鬼啊要轉帳不能轉帳是再幹嘛！工程師快到處理
30572,5 顆星,很棒
176,1 顆星,主打cube卡 但現在卡片的加碼回饋是越來越少現在根本就是沒啥加碼回饋 項目更改新增都沒在公告的 讓人白白損失最基本的回饋 商品久了越來越坑了 越來越白目了 為啥繳電話費刷卡沒有小數點數
14406,1 顆星,"打開app就停在“讀取中”,我真的建議貴公司可以挖台新兆豐富邦這些app的開發者"
17561,1 顆星,每個月都在更新
13575,5 顆星,good
20318,5 顆星,設定更新的簡訊認證完成了。感謝
4159,1 顆星,連不上
31017,1 顆星,用過這麼多家網路銀行就台銀的最爛。
1341,5 顆星,操作方式迅速方便
4208,5 顆星,方便
11343,1 顆星,一直卡登入要進去繳費還要看app心情
18003,1 顆星,突然變成每一次打開都要打密碼無法使用生物辨識
9588,5 顆星,還不錯好用。
9789,5 顆星,讚好用
30069,5 顆星,"卡在邀請碼+, 有參加預約帳號活動。android +g行動網路加油xdd"
5836,5 顆星,中國信託網銀多功能~好方便！....
22075,1 顆星,內建的台灣pay qrcode掃描功能辨識率非常糟糕支付掃碼掃半天掃不到。換用別的qrcode掃描軟體一下就掃到了期待能夠改進。
24534,1 顆星,更新後變很卡噸。。。使用起來非常不順!
24238,5 顆星,評分為.今天評分升為.我已收集到証据評分作假若不於日(含)前改正回復真正評分將向台新集團董事長總經理google store及台灣各媒體擧發。
4963,1 顆星,app越來越難用
18047,1 顆星,更新完進不去又說要更新一直反覆最後還是進不去…
19617,5 顆星,服務態度品質迅速感覺很好！
8465,1 顆星,這次更新畫面非常混亂比上一次的還難用。建議更改回上一版本畫面簡單明瞭。
5265,5 顆星,目前想要的功能都有而且可以跟line聯動傳訊息訊息不漏接。
28416,5 顆星,便利貸低手續費
28514,1 顆星,最近一直打不開 更新了還是打不開 不知道問題出錯在哪裡了crying face
16710,1 顆星,很少使用
3984,1 顆星,我想了解車險的事去年車輛磨損abm-車保險來車號不合我來的是who重要我現在要繳保險費元保、險.員說我事.故要加費
2903,5 顆星,使用方便
7030,5 顆星,很方便
19436,5 顆星,方便快速！讚
5121,1 顆星,adt和adt進不去
31129,1 顆星,真的爆爛.....偏偏要用的時候出包是怎樣
14893,1 顆星,怎麼可以爛成這樣第一次用到這麼爛的銀行系統之前設好指紋登入今天開始突然登不進去移除了重新安裝用身份證才勉強（轉圈超久按返回反而突然成功）登入進去登入後重新再設定指紋登入結果又不行了真的很傻眼是擺明不想讓大家用是不是upside-down face
31347,5 顆星,好
3304,1 顆星,信用卡上鎖功能異常說明是一個月自動解鎖根本不會自己解鎖刷卡時一直說無法刷回家檢查才知道根本沒解鎖一直沒改進。
18608,1 顆星,通知訊息 請再增加全部已讀 與全數刪除一筆筆點入再刪除太浪費時間 支存扣款明細 未出現票號 請改善
23719,1 顆星,使用者代號跟密碼到底是什麼？
20566,1 顆星,"為何每天都耗用了電量其他朋友你們要注意這個app的耗電量真是驚人,所有手機省電設定都沒有用唯一方式就是每次使用後都重新開機才能解決耗電問題。"
20004,5 顆星,很方便使用簡單
22086,1 顆星,轉帳有問題 線上客服問題導覽到要撥電話撥了個寂寞只有客服人員忙線中回覆我
12318,5 顆星,清晰好用
1723,1 顆星,跨提轉帳要手續費了被坑了元國泰沒屁用了可以卸載說掰掰了
881,1 顆星,更新後無法登入？？
31202,1 顆星,叫我更新才能使用結果更新後說出現網路有問題就得重新安裝搞什麼啊！
12658,5 顆星,使用體驗完美
19029,5 顆星,貴司的華南銀行+要取代隨行保鑣但集保e存摺連結貴銀行帳戶還是要隨行保鑣認證請問解決方法？
30235,5 顆星,方便使用
2114,5 顆星,好用
4059,5 顆星,不錯好用
25995,5 顆星,讚
30789,1 顆星,為什麼轉帳功能無法用？明明有帳號才進得來卻出現無轉出帳號羅生門了更新後移除重裝也一樣想說會改進半年了也沒改超麻煩還要外出去銀行一趟
5515,5 顆星,便利
15265,1 顆星,忘記代號或是密碼輸入錯誤別家銀行可以透過電子信箱重新設定貴行卻是得臨櫃辦理有點不方便
1762,5 顆星,很方便
22037,1 顆星,使用上機率不高但手機都跳出有病毒所有app裡面就只有你們的這個app有跳出警訊手機明明沒毒也做過掃毒 清毒卻還是顯示有毒。。
5986,5 顆星,好
4967,1 顆星,不太人性化的註冊程序……
27229,1 顆星,強迫更新
29819,5 顆星,app 介面清新操作順暢。但建議登入通知、帳務通知有不再顯示；全部已讀功能。
6184,5 顆星,瓦斯繳費 的第二欄限制碼但是繳費單上面是 碼耶（大台北瓦斯）能幫忙確認下嗎
6346,5 顆星,非常好用
27208,1 顆星,還是舊版的app好用新的超難用很難用非常難用
4392,1 顆星,信用卡相關訊息跑的很慢欸
18294,5 顆星,方便快速
13428,5 顆星,讚
30223,5 顆星,辦過多家信用卡 比較下來 你們服務是我最滿意和感動的 當下碰到的問題都能得到解決  而且是當天我就得到了處理 那是很感動的一件事 很值得推薦給朋友們 謝謝
9703,5 顆星,好用轉帳快速查閱信用卡金額方便系統介面清楚明瞭調整額度快速。
1581,5 顆星,方便快速
25061,5 顆星,簡單明瞭
20005,5 顆星,希望有便利的小工具使用
9367,1 顆星,"從沒有用過那麼爛的app,主要用來追踪當期信用卡繳費訊息現在還要強迫使用者下載網銀app登入也無法登入一直鬼打牆之前國泰costco聯名卡不曾有此事情發生！秒將app删除pouting face"
5609,5 顆星,充滿便利性的好東西
725,5 顆星,簡單明確好用
10682,1 顆星,一直叫你更新然後刪除重新安裝也沒用一直顯示要更新版本說什麼憑證已更新無法使用請問要怎麼更新？
29856,5 顆星,￼ galaxy s ultra
27065,5 顆星,很好
13811,1 顆星,不支援安卓很困擾不要在刪留言了快處理吧
12263,1 顆星,越來越就手
25325,3 顆星,舊版比較簡單明瞭
27163,1 顆星,跟本無法申請拍照功能完全不能用
17752,5 顆星,方便好用安全
13442,1 顆星,沒用過比兆豐app還卡的app尤其是行動支付
20954,1 顆星,重新安裝後依然閃退
9456,5 顆星,雖然用起來沒什麼問題但ui看起來有點老舊
22692,1 顆星,無法開啟app網路個人銀行沒有自行定存的功能。
6305,1 顆星,"已經超過半年時間開不了這app都在啟動時出現中信銀logo然後就卡住了覺得你們顧好交易安全就好其他登入啦,操作啦,三小你老母的安全啦是使用者自己的事開發這app的人很明顯就不懂也不會寫硬是亂幹中信銀主管卻裝瞎裝智障看不見真是為子孫造孽。 - ()幹!這次app更新完又開不起來了中信專收別人不要的智障程式員？開除它們很捨不得？能寫出app的人隨便找都有你資訊主管是井底之蛙？它第一次看到智慧手機？驚呆了？ 不用再回覆了這次評分是永久了。 - ()個月後的今天同支手機安裝新版可以正常用了所以之前確實是中信程式員低能無誤客服還一直不斷叫我嘗試重安裝中信app該重新安裝的是中信智障程式員和資訊主管。 - ()更新後一直卡在中信logo畫面這銀行界傳說做最好的app 星變星。現在連小學生都開始會寫app了麻煩上報主管開除一下這app的程式員換小學生來寫都比它們優秀。"
11065,5 顆星,不錯 謝謝！
14635,1 顆星,畫面卡住不能動無法看到登入畫面請問這樣做產品合適嗎？
23783,1 顆星,無回應。。。
4763,1 顆星,這個app反應極慢不用又不行每次只要需要開中信的app就很痛苦其他銀行的都不會
66,1 顆星,"時不時的出狀況用過狀況最多的銀行app,沒有之一"
23395,5 顆星,希望可以每日轉帳功能
23429,1 顆星,更新之後無法安裝 這次更扯 轉定存輸入數字會倒退輸入 還不能輸入密碼 台新銀行app真的問題很多 這組團隊更新程式之後自己會測試各功能再上架嗎？可以對自己的工作負責 尊重自己一點嗎？
6317,5 顆星,方便快速
25692,5 顆星,好用
31256,1 顆星,"一直交易逾時請重新登入,但重新登入還是一樣結果,很讓人困擾"
3086,5 顆星,服務好
1331,1 顆星,每次要看信用卡消費明細就當掉了
11966,1 顆星,這是我用過的app下載等最久的光下載就要等-h點進去又跑不動很卡不優秀打叉
24878,1 顆星,太爛 高高在上
17659,5 顆星,拜託拿掉超過分鍾的提醒其他銀行都可以逾時重登就好就永豐要跳通知干擾。
20770,5 顆星,便利 快速
17356,5 顆星,app操作簡單方便 不過部分服務需要客服如：取消自動扣款服務無法直接申請。
19801,5 顆星,這幾顆給男州的
2355,5 顆星,轉帳買外幣都很方便
21617,1 顆星,app更新後當機頻率高很多
23195,1 顆星,現在刪除app後重新安裝可以了更新評價 手機升級android 後快速啟動的生物辨識功能就失效了目前只能輸入密碼登入希望能儘速改善
24440,1 顆星,新版在轉賬畫面按下“選擇收款人“似乎當掉等很久才出現收款人的dialog視窗。
5646,5 顆星,很棒
3446,5 顆星,快速
15811,1 顆星,速度慢
28713,1 顆星,"傳推薦連結給朋友的line,但點選連結一直沒有畫面"
22065,1 顆星,不是很爛是我十幾年沒使用了能使用的才是有問題
28594,1 顆星,爛死了 低能
869,5 顆星,very good smiling face with smiling eyessmiling face with smiling eyes
11275,5 顆星,還算不錯喔
15246,1 顆星,登入後都無法功能查詢臨櫃說登入ileo就可以了但連登入後又說要臨櫃辦理真的是跟我莊笑維
29117,5 顆星,非常好用
29683,5 顆星,我要申請信用卡
2107,1 顆星,已繳完本期信用卡帳單帳務總覽頁面的信用卡總覽部分卻不會正常顯示「已繳費」。至不久前都還會即時顯示已繳費...改版後反而使用者感受不佳
8225,5 顆星,銀行app裡目前最好用的一個
20375,1 顆星,通知有時沒有銅板聲 重新安裝也沒有
22344,1 顆星,用到快腦中風這介面一點都不直覺為什麼設定常用帳戶還要ssl碼而且ssl碼明明打對還一直顯示錯誤有夠不合理用過這麼多家網銀這是最不人性化的
22593,1 顆星,無法登入請盡快維修
21734,1 顆星,更新後超難用…… 下載信用卡資料下載不了也開不了 查上個月的還說查無資料 超無言 用合庫年了這次更新真的讓我認真考慮換用別家信用卡
20583,1 顆星,app跳出說我的手機有風險然後就不讓我用但明明就是正牌手機什麼都沒裝這是在惡搞客人嗎  update 不明原因耗用大量電力貴公司程式有這麼吃電我也服了該把it team fire掉程式越修越爛修個bug修一個多月還製造更多bug
10400,1 顆星,不人性也不方便
21787,1 顆星,資料容易被盜
16262,5 顆星,希望 聯絡電話的 變更方式 可以直接在程式裡變更.... 加油！！ 其他家的都可以 變更
1700,5 顆星,方便好用安全
9055,1 顆星,沒有更新按鈕是要更新三小啦！
11422,1 顆星,繳卡費根本看不出繳了沒用很複雜害我這次多繳罰金然後圖片解鎖爛死一直亂連線反正分期繳完了等著剪卡玉山好用多了victory hand
5037,5 顆星,使用方便
14724,1 顆星,真的很常登不進去 但是明明網路連線沒有問題 其他銀行app都可以用
28933,1 顆星,花旗用戶無法使用 客服永遠接不通
15386,1 顆星,放棄移除了web沒有發生過但使用app已經兩次網銀被鎖決定還是使用web避免麻煩 不過一銀不錯的是可以用晶片卡讀卡解鎖至少不用跑銀行為網銀這個功能多一顆星 ps我的android版本提供參考
18271,5 顆星,好用！
27067,5 顆星,歡迎來存款
5673,5 顆星,方便迅速
